user_id,product_0,product_1,product_2,product_3,product_4,product_5,product_6,product_7,product_8,product_9,product_10,product_11,product_12,product_13,product_14,product_15,product_16,product_17,product_18,product_19
0,4,2,4,5,1,4,2,5,4,1,1,3,3,2,4,4,3,4,4,1
1,3,5,3,5,1,2,4,1,4,2,2,1,2,5,2,4,4,4,4,5
2,3,1,4,2,4,2,2,4,5,2,2,4,2,2,4,4,1,5,5,2
3,5,2,1,4,4,4,5,1,5,5,1,1,1,1,4,3,3,1,3,3
4,1,3,5,2,2,1,4,1,4,2,1,5,3,4,3,3,1,3,5,3
5,1,5,2,3,1,2,2,4,5,3,1,4,5,4,5,5,3,5,4,5
6,3,3,4,2,2,5,1,5,4,4,4,4,4,3,2,4,1,1,1,1
7,3,1,4,5,1,3,3,1,5,1,3,2,4,3,1,4,1,1,2,4
8,4,2,3,1,5,1,1,3,1,2,2,4,5,1,1,3,2,5,4,2
9,4,3,3,1,5,4,2,3,1,1,4,3,5,3,4,4,3,4,3,2
10,3,3,4,4,1,1,2,1,3,4,1,1,2,2,3,4,2,1,4,4
11,1,2,1,4,5,5,3,1,1,3,3,3,4,1,4,3,1,4,4,3
12,1,3,1,5,2,2,2,3,5,1,4,1,4,1,5,4,3,1,1,4
13,3,3,5,3,3,3,2,5,1,4,1,5,4,5,3,4,3,1,1,4
14,4,5,5,3,4,1,5,5,1,5,3,4,1,4,5,5,1,3,2,1
15,2,2,3,2,2,3,2,2,2,1,1,1,3,5,2,2,3,2,1,5
16,4,2,1,4,5,4,1,4,3,4,2,2,3,1,2,5,2,2,1,4
17,2,3,4,5,1,5,4,4,4,5,4,5,4,3,4,5,2,4,2,3
18,1,3,4,2,2,5,2,5,1,4,5,1,2,2,1,2,1,5,5,1
19,5,5,5,3,4,2,3,5,1,5,4,5,1,4,5,4,2,2,5,4
20,1,5,2,2,5,4,2,4,2,2,3,2,1,5,5,4,2,1,4,3
21,4,4,2,3,4,1,1,5,3,3,5,4,3,1,1,2,3,4,5,5
22,4,2,5,3,2,3,1,2,5,2,2,2,2,3,1,4,2,5,2,5
23,3,5,4,1,5,5,1,4,2,5,1,3,1,3,4,2,1,5,4,1
24,5,1,3,1,1,1,4,1,5,3,3,1,4,4,5,1,3,4,1,4
25,4,3,2,5,5,3,4,1,4,3,5,4,5,1,5,5,2,2,2,5
26,3,5,3,3,2,4,1,2,2,4,1,5,5,2,1,2,3,2,2,5
27,5,5,3,5,1,4,1,1,5,4,4,4,3,5,4,3,2,2,3,3
28,5,5,2,4,2,4,4,5,1,1,3,5,4,1,4,1,1,1,5,2
29,4,5,5,5,5,5,3,4,5,4,3,3,4,1,2,1,1,1,5,3
30,1,3,4,2,4,4,5,2,4,4,2,2,4,2,4,4,5,1,4,3
31,1,1,1,5,4,5,4,5,5,3,5,2,3,5,1,2,2,2,3,5
32,5,1,1,2,1,3,5,2,1,3,3,1,5,1,2,1,3,1,5,4
33,1,5,5,3,5,5,5,5,2,2,3,1,5,1,1,3,5,5,4,1
34,1,2,4,2,2,2,3,3,2,4,1,4,5,3,1,1,5,5,2,3
35,3,4,2,2,2,2,3,3,2,4,1,1,4,2,3,1,5,5,4,2
36,1,2,1,4,4,5,2,5,2,5,3,3,3,3,1,3,4,4,1,3
37,3,3,5,2,5,2,3,3,5,5,2,4,2,5,5,1,5,1,4,2
